ticket_id,category,priority,status,opened_at,resolved_at,resolution_minutes,summary,resolution,validation
SYS-0001,Active Directory,P4,Resolved,2026-01-02T21:00:00,2026-01-03T05:59:00,539.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0002,Windows Server,P3,Resolved,2026-01-03T10:00:00,2026-01-03T14:08:00,248.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0003,Linux,P2,Resolved,2026-01-03T23:00:00,2026-01-04T01:10:00,130.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0004,Microsoft 365,P1,Resolved,2026-01-04T12:00:00,2026-01-04T13:01:00,61.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0005,Virtualization,P4,Resolved,2026-01-05T01:00:00,2026-01-05T10:13:00,553.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0006,Networking,P3,Resolved,2026-01-05T14:00:00,2026-01-05T18:22:00,262.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0007,Backup,P2,Resolved,2026-01-06T03:00:00,2026-01-06T04:48:00,108.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0008,Patching,P1,Resolved,2026-01-06T16:00:00,2026-01-06T17:39:00,99.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0009,Security,P4,Resolved,2026-01-07T05:00:00,2026-01-07T13:56:00,536.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0010,Storage,P3,Resolved,2026-01-07T18:00:00,2026-01-07T23:20:00,320.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0011,Printing,P2,Resolved,2026-01-08T07:00:00,2026-01-08T09:29:00,149.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0012,Monitoring,P1,Resolved,2026-01-08T20:00:00,2026-01-08T20:34:00,34.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0013,Active Directory,P4,Resolved,2026-01-09T09:00:00,2026-01-09T17:48:00,528.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0014,Windows Server,P3,Resolved,2026-01-09T22:00:00,2026-01-10T02:16:00,256.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
SYS-0015,Linux,P2,Resolved,2026-01-10T11:00:00,2026-01-10T13:02:00,122.0,Linux service interruption or administration request,"Inspected systemd and journal logs, corrected permissions or configuration, restarted service, and validated health.",Validated with requester and monitoring
SYS-0016,Microsoft 365,P1,Resolved,2026-01-11T00:00:00,2026-01-11T00:59:00,59.0,Microsoft 365 service interruption or administration request,"Updated license or policy assignment, refreshed tokens, and confirmed service access.",Validated with requester and monitoring
SYS-0017,Virtualization,P4,Resolved,2026-01-11T13:00:00,2026-01-11T22:49:00,589.0,Virtualization service interruption or administration request,"Adjusted VM resources or host configuration, completed safe restart or migration, and validated guest health.",Validated with requester and monitoring
SYS-0018,Networking,P3,Resolved,2026-01-12T02:00:00,2026-01-12T06:08:00,248.0,Networking service interruption or administration request,"Validated DNS, routes, firewall rules, and interface configuration; corrected the failing dependency.",Validated with requester and monitoring
SYS-0019,Backup,P2,Resolved,2026-01-12T15:00:00,2026-01-12T17:46:00,166.0,Backup service interruption or administration request,"Repaired job configuration, reran backup, and completed a restore validation.",Validated with requester and monitoring
SYS-0020,Patching,P1,Resolved,2026-01-13T04:00:00,2026-01-13T04:55:00,55.0,Patching service interruption or administration request,"Corrected deployment targeting, remediated prerequisite failure, and verified patch compliance.",Validated with requester and monitoring
SYS-0021,Security,P4,Resolved,2026-01-13T17:00:00,2026-01-14T02:54:00,594.0,Security service interruption or administration request,"Removed excessive access, rotated credentials where required, and documented the security control validation.",Validated with requester and monitoring
SYS-0022,Storage,P3,Resolved,2026-01-14T06:00:00,2026-01-14T10:58:00,298.0,Storage service interruption or administration request,"Expanded or cleaned storage, corrected quota or mount configuration, and verified application access.",Validated with requester and monitoring
SYS-0023,Printing,P2,Resolved,2026-01-14T19:00:00,2026-01-14T21:03:00,123.0,Printing service interruption or administration request,"Cleared spooler issue, corrected driver or queue settings, and validated test printing.",Validated with requester and monitoring
SYS-0024,Monitoring,P1,Resolved,2026-01-15T08:00:00,2026-01-15T09:27:00,87.0,Monitoring service interruption or administration request,Corrected collector or threshold configuration and verified alert recovery.,Validated with requester and monitoring
SYS-0025,Active Directory,P4,Resolved,2026-01-15T21:00:00,2026-01-16T07:00:00,600.0,Active Directory service interruption or administration request,"Corrected group membership, cleared stale lockout source, forced replication, and validated authentication.",Validated with requester and monitoring
SYS-0026,Windows Server,P3,Resolved,2026-01-16T10:00:00,2026-01-16T14:40:00,280.0,Windows Server service interruption or administration request,"Reviewed event logs, restarted the affected service, corrected configuration, and confirmed stability.",Validated with requester and monitoring
