resource_id,provider,account_subscription,region,resource_type,resource_name,environment,owner_team,monthly_cost_usd,backup_enabled,monitoring_enabled,public_exposure,tag_compliance
AZ-00001,Azure,Production,East US,Virtual Machine,ns-net-001,Development,Infrastructure,572.07,Yes,Yes,No,Compliant
AW-00002,AWS,Development,us-east-2,Load Balancer,ns-app-002,Production,Application Engineering,793.44,Yes,Yes,No,Compliant
AZ-00003,Azure,Shared Services,us-east-1,Network,ns-logs-003,Production,Application Engineering,710.71,No,Yes,No,Compliant
AW-00004,AWS,Production,Central US,Load Balancer,ns-db-004,Test,Cloud Operations,491.86,No,Yes,No,Compliant
AZ-00005,Azure,Production,us-east-1,Virtual Machine,ns-logs-005,Production,Cloud Operations,1107.2,Yes,Yes,Reviewed,Compliant
AZ-00006,Azure,Production,East US,Load Balancer,ns-logs-006,Test,Cloud Operations,695.24,Yes,Yes,No,Compliant
AW-00007,AWS,Development,us-east-1,Load Balancer,ns-net-007,Production,Infrastructure,439.15,Yes,Yes,Reviewed,Compliant
AZ-00008,Azure,Production,us-east-1,Virtual Machine,ns-app-008,Development,Application Engineering,766.26,No,Yes,Reviewed,Compliant
AZ-00009,Azure,Production,us-east-1,Network,ns-logs-009,Production,Cloud Operations,647.88,Yes,Yes,No,Noncompliant
AZ-00010,Azure,Shared Services,us-east-1,Network,ns-app-010,Development,Cloud Operations,16.0,Yes,Yes,No,Compliant
AW-00011,AWS,Production,Central US,Virtual Machine,ns-app-011,Production,Cloud Operations,1149.99,Yes,Yes,No,Noncompliant
AW-00012,AWS,Production,Central US,Network,ns-web-012,Test,Cloud Operations,406.47,No,Yes,No,Compliant
AW-00013,AWS,Development,us-east-1,Monitoring,ns-logs-013,Test,Cloud Operations,989.66,No,Yes,No,Compliant
AZ-00014,Azure,Shared Services,Central US,Network,ns-net-014,Development,Cloud Operations,61.11,Yes,Yes,No,Noncompliant
AZ-00015,Azure,Production,us-east-1,Load Balancer,ns-web-015,Production,Application Engineering,197.48,Yes,Yes,No,Compliant
AZ-00016,Azure,Shared Services,us-east-2,Network,ns-db-016,Test,Application Engineering,490.05,Yes,Yes,Reviewed,Compliant
AW-00017,AWS,Production,Central US,Virtual Machine,ns-web-017,Development,Infrastructure,1069.0,No,Yes,Reviewed,Compliant
AZ-00018,Azure,Production,us-east-2,Monitoring,ns-db-018,Test,Cloud Operations,1127.5,Yes,Yes,No,Compliant
AZ-00019,Azure,Development,us-east-1,Database,ns-logs-019,Development,Application Engineering,1048.36,Yes,Yes,No,Compliant
AZ-00020,Azure,Production,East US,Monitoring,ns-web-020,Development,Cloud Operations,315.44,Yes,Yes,No,Compliant
AW-00021,AWS,Development,Central US,Monitoring,ns-db-021,Development,Application Engineering,559.98,Yes,Yes,No,Compliant
AW-00022,AWS,Production,us-east-1,Load Balancer,ns-app-022,Test,Cloud Operations,774.13,No,Yes,No,Compliant
AW-00023,AWS,Production,Central US,Load Balancer,ns-logs-023,Test,Infrastructure,358.73,No,Yes,No,Compliant
AZ-00024,Azure,Development,us-east-1,Load Balancer,ns-web-024,Test,Cloud Operations,66.34,Yes,Yes,Reviewed,Compliant
AW-00025,AWS,Development,Central US,Load Balancer,ns-logs-025,Development,Infrastructure,228.2,Yes,Yes,No,Noncompliant
AW-00026,AWS,Development,Central US,Monitoring,ns-db-026,Test,Application Engineering,98.75,No,Yes,No,Compliant
AZ-00027,Azure,Production,Central US,Database,ns-net-027,Development,Infrastructure,1234.44,Yes,Yes,No,Noncompliant
AZ-00028,Azure,Shared Services,East US,Load Balancer,ns-logs-028,Test,Cloud Operations,315.46,No,Yes,Reviewed,Compliant
AZ-00029,Azure,Production,East US,Storage,ns-logs-029,Test,Application Engineering,732.53,No,Yes,No,Noncompliant
AZ-00030,Azure,Production,us-east-2,Storage,ns-logs-030,Development,Infrastructure,1201.55,Yes,Yes,No,Compliant
AZ-00031,Azure,Shared Services,East US,Load Balancer,ns-db-031,Development,Application Engineering,352.62,Yes,Yes,No,Noncompliant
AW-00032,AWS,Development,us-east-1,Storage,ns-app-032,Development,Cloud Operations,488.32,Yes,Yes,No,Compliant
AW-00033,AWS,Development,us-east-2,Storage,ns-web-033,Production,Infrastructure,989.35,Yes,Yes,No,Compliant
AZ-00034,Azure,Shared Services,Central US,Network,ns-web-034,Production,Application Engineering,753.15,No,Yes,Reviewed,Compliant
AZ-00035,Azure,Development,East US,Database,ns-net-035,Test,Cloud Operations,834.7,Yes,Yes,No,Compliant
AW-00036,AWS,Production,Central US,Monitoring,ns-logs-036,Production,Application Engineering,108.55,Yes,Yes,Reviewed,Compliant
AW-00037,AWS,Production,East US,Virtual Machine,ns-app-037,Production,Infrastructure,938.88,No,Yes,No,Noncompliant
AZ-00038,Azure,Production,us-east-2,Virtual Machine,ns-db-038,Production,Application Engineering,350.38,No,Yes,No,Compliant
AZ-00039,Azure,Development,Central US,Monitoring,ns-logs-039,Development,Cloud Operations,726.15,Yes,Yes,Reviewed,Compliant
AZ-00040,Azure,Development,East US,Virtual Machine,ns-db-040,Development,Application Engineering,761.61,Yes,Yes,No,Compliant
AW-00041,AWS,Production,us-east-1,Virtual Machine,ns-app-041,Test,Application Engineering,1070.44,Yes,Yes,No,Compliant
AW-00042,AWS,Production,Central US,Load Balancer,ns-web-042,Production,Cloud Operations,850.54,Yes,Yes,Reviewed,Noncompliant
AZ-00043,Azure,Production,Central US,Monitoring,ns-logs-043,Test,Cloud Operations,697.37,No,Yes,No,Compliant
AW-00044,AWS,Production,Central US,Load Balancer,ns-logs-044,Test,Cloud Operations,872.38,Yes,Yes,No,Compliant
AW-00045,AWS,Production,us-east-1,Load Balancer,ns-db-045,Production,Application Engineering,634.64,Yes,Yes,No,Compliant
AW-00046,AWS,Shared Services,us-east-2,Load Balancer,ns-db-046,Production,Application Engineering,285.28,Yes,Yes,No,Noncompliant
AZ-00047,Azure,Production,East US,Storage,ns-net-047,Test,Cloud Operations,1044.16,No,Yes,No,Compliant
AZ-00048,Azure,Shared Services,us-east-2,Monitoring,ns-net-048,Test,Application Engineering,1043.39,Yes,Yes,No,Compliant
AZ-00049,Azure,Development,Central US,Database,ns-web-049,Test,Application Engineering,374.51,Yes,Yes,No,Noncompliant
AZ-00050,Azure,Production,East US,Database,ns-net-050,Development,Application Engineering,700.15,No,Yes,No,Compliant
AZ-00051,Azure,Shared Services,East US,Monitoring,ns-db-051,Production,Application Engineering,818.22,Yes,Yes,No,Compliant
AW-00052,AWS,Production,us-east-1,Database,ns-net-052,Test,Infrastructure,158.64,Yes,Yes,Reviewed,Noncompliant
AZ-00053,Azure,Shared Services,East US,Storage,ns-net-053,Test,Application Engineering,50.81,Yes,Yes,Reviewed,Noncompliant
AZ-00054,Azure,Shared Services,us-east-2,Monitoring,ns-logs-054,Test,Cloud Operations,1063.79,Yes,Yes,No,Noncompliant
AZ-00055,Azure,Production,us-east-1,Virtual Machine,ns-web-055,Test,Infrastructure,925.93,Yes,Yes,No,Noncompliant
AW-00056,AWS,Development,East US,Load Balancer,ns-web-056,Development,Infrastructure,839.22,Yes,Yes,No,Compliant
AZ-00057,Azure,Production,East US,Database,ns-net-057,Test,Infrastructure,1010.7,Yes,Yes,No,Compliant
AW-00058,AWS,Production,Central US,Database,ns-app-058,Development,Cloud Operations,837.79,Yes,Yes,No,Compliant
AW-00059,AWS,Shared Services,us-east-2,Virtual Machine,ns-db-059,Production,Infrastructure,542.78,Yes,Yes,No,Compliant
AZ-00060,Azure,Development,Central US,Virtual Machine,ns-logs-060,Production,Cloud Operations,412.69,No,Yes,No,Compliant
AW-00061,AWS,Production,East US,Database,ns-net-061,Production,Infrastructure,548.32,No,Yes,Reviewed,Compliant
AZ-00062,Azure,Shared Services,us-east-2,Monitoring,ns-web-062,Production,Infrastructure,114.07,Yes,Yes,No,Noncompliant
AW-00063,AWS,Development,Central US,Monitoring,ns-net-063,Test,Application Engineering,883.15,No,Yes,No,Compliant
AZ-00064,Azure,Shared Services,East US,Virtual Machine,ns-db-064,Production,Infrastructure,825.75,Yes,Yes,No,Noncompliant
AZ-00065,Azure,Development,East US,Virtual Machine,ns-logs-065,Development,Application Engineering,745.87,No,Yes,No,Noncompliant
AZ-00066,Azure,Development,Central US,Network,ns-db-066,Test,Infrastructure,372.64,Yes,Yes,No,Noncompliant
AW-00067,AWS,Production,us-east-1,Virtual Machine,ns-app-067,Development,Infrastructure,948.9,No,Yes,No,Compliant
AW-00068,AWS,Production,Central US,Monitoring,ns-web-068,Production,Application Engineering,63.11,No,Yes,No,Noncompliant
AW-00069,AWS,Shared Services,us-east-2,Storage,ns-web-069,Test,Infrastructure,927.75,No,Yes,No,Compliant
AW-00070,AWS,Development,us-east-1,Load Balancer,ns-db-070,Development,Cloud Operations,258.7,Yes,Yes,Reviewed,Noncompliant
AW-00071,AWS,Development,Central US,Virtual Machine,ns-db-071,Test,Infrastructure,855.84,Yes,Yes,No,Compliant
AW-00072,AWS,Production,Central US,Monitoring,ns-db-072,Development,Application Engineering,956.97,Yes,Yes,Reviewed,Compliant
AZ-00073,Azure,Production,East US,Load Balancer,ns-db-073,Production,Application Engineering,271.94,Yes,Yes,No,Compliant
AW-00074,AWS,Shared Services,us-east-2,Storage,ns-logs-074,Production,Cloud Operations,423.66,No,Yes,No,Compliant
AZ-00075,Azure,Shared Services,us-east-1,Load Balancer,ns-app-075,Production,Infrastructure,40.76,No,Yes,Reviewed,Compliant
AZ-00076,Azure,Production,Central US,Network,ns-db-076,Production,Application Engineering,1171.38,No,Yes,No,Compliant
AW-00077,AWS,Production,Central US,Network,ns-net-077,Development,Infrastructure,440.52,No,Yes,No,Compliant
AZ-00078,Azure,Shared Services,Central US,Database,ns-app-078,Test,Application Engineering,333.49,Yes,Yes,No,Compliant
AZ-00079,Azure,Production,Central US,Network,ns-db-079,Test,Cloud Operations,406.12,Yes,Yes,No,Compliant
AW-00080,AWS,Production,us-east-2,Virtual Machine,ns-net-080,Development,Cloud Operations,491.7,Yes,Yes,No,Noncompliant
AW-00081,AWS,Development,us-east-2,Load Balancer,ns-app-081,Test,Cloud Operations,638.37,No,Yes,No,Noncompliant
AW-00082,AWS,Development,Central US,Network,ns-web-082,Production,Infrastructure,423.6,Yes,Yes,No,Compliant
AZ-00083,Azure,Shared Services,Central US,Monitoring,ns-app-083,Production,Application Engineering,51.6,No,Yes,Reviewed,Noncompliant
AZ-00084,Azure,Development,East US,Monitoring,ns-web-084,Production,Infrastructure,174.39,No,Yes,No,Compliant
AW-00085,AWS,Development,us-east-2,Storage,ns-net-085,Production,Infrastructure,1091.91,Yes,Yes,No,Compliant
AZ-00086,Azure,Production,us-east-1,Storage,ns-app-086,Test,Infrastructure,1127.28,No,Yes,No,Compliant
AW-00087,AWS,Shared Services,us-east-2,Monitoring,ns-logs-087,Test,Infrastructure,1002.53,Yes,Yes,No,Noncompliant
AW-00088,AWS,Shared Services,Central US,Monitoring,ns-db-088,Production,Cloud Operations,1078.37,Yes,Yes,No,Compliant
