resource_id,technical_owner,business_owner,cost_center,criticality,data_classification
R-00001,Application,Operations,CC-587,High,Internal
R-00002,Application,Operations,CC-427,Low,Public
R-00003,Platform,Retail,CC-319,Medium,Internal
R-00004,CloudOps,Finance,CC-925,High,Internal
R-00005,Application,Finance,CC-499,Critical,Internal
R-00006,Platform,Operations,CC-141,High,Internal
R-00007,CloudOps,Finance,CC-839,Low,Internal
R-00008,CloudOps,Operations,CC-799,Medium,Public
R-00009,Application,Operations,CC-259,Critical,Confidential
R-00010,Platform,Operations,CC-714,Critical,Public
R-00011,CloudOps,Finance,CC-645,High,Public
R-00012,Platform,Finance,CC-365,Critical,Internal
R-00013,Application,Operations,CC-712,High,Internal
R-00014,CloudOps,Operations,CC-250,Critical,Confidential
R-00015,Platform,Retail,CC-809,Medium,Public
R-00016,CloudOps,Retail,CC-162,High,Internal
R-00017,Application,Operations,CC-580,Low,Confidential
R-00018,Platform,Operations,CC-566,Low,Public
R-00019,Application,Operations,CC-460,Low,Confidential
R-00020,Application,Finance,CC-964,Low,Internal
R-00021,Platform,Operations,CC-653,Critical,Public
R-00022,Platform,Retail,CC-522,Medium,Public
R-00023,Application,Finance,CC-955,High,Internal
R-00024,CloudOps,Finance,CC-840,Medium,Confidential
R-00025,CloudOps,Operations,CC-409,High,Public
R-00026,Application,Retail,CC-792,Critical,Confidential
R-00027,Platform,Operations,CC-719,Low,Internal
R-00028,CloudOps,Retail,CC-239,Medium,Confidential
R-00029,CloudOps,Retail,CC-350,Low,Confidential
R-00030,CloudOps,Finance,CC-176,Medium,Internal
R-00031,Platform,Retail,CC-130,High,Internal
R-00032,Platform,Retail,CC-102,Medium,Public
R-00033,Platform,Finance,CC-865,Medium,Public
R-00034,CloudOps,Finance,CC-805,Medium,Confidential
R-00035,Application,Operations,CC-240,Critical,Internal
R-00036,Application,Operations,CC-132,Medium,Confidential
R-00037,CloudOps,Operations,CC-604,High,Public
R-00038,CloudOps,Finance,CC-877,Critical,Confidential
R-00039,Platform,Finance,CC-172,Critical,Internal
R-00040,Application,Retail,CC-282,High,Public
R-00041,Application,Retail,CC-222,High,Public
R-00042,CloudOps,Finance,CC-503,Medium,Internal
R-00043,CloudOps,Operations,CC-113,Low,Internal
R-00044,Platform,Finance,CC-675,Low,Confidential
R-00045,Application,Operations,CC-881,Medium,Public
R-00046,CloudOps,Operations,CC-274,High,Confidential
R-00047,Platform,Retail,CC-808,Critical,Internal
R-00048,CloudOps,Retail,CC-179,Critical,Confidential
R-00049,Application,Finance,CC-232,High,Confidential
R-00050,CloudOps,Operations,CC-842,Low,Public
R-00051,Platform,Retail,CC-398,Medium,Confidential
R-00052,Application,Operations,CC-153,Critical,Internal
R-00053,Application,Finance,CC-951,Critical,Public
R-00054,CloudOps,Operations,CC-467,High,Internal
R-00055,CloudOps,Finance,CC-800,Low,Confidential
R-00056,CloudOps,Finance,CC-135,High,Confidential
R-00057,Application,Finance,CC-187,Medium,Confidential
R-00058,Application,Operations,CC-695,Critical,Internal
R-00059,CloudOps,Operations,CC-145,High,Internal
R-00060,CloudOps,Operations,CC-383,High,Internal
R-00061,CloudOps,Retail,CC-945,Medium,Internal
R-00062,CloudOps,Operations,CC-422,High,Public
R-00063,Application,Operations,CC-246,Medium,Internal
R-00064,Application,Operations,CC-967,Critical,Confidential
R-00065,CloudOps,Finance,CC-321,High,Public
R-00066,CloudOps,Retail,CC-199,Critical,Confidential
R-00067,Application,Retail,CC-727,Low,Public
R-00068,Platform,Finance,CC-756,High,Confidential
R-00069,CloudOps,Operations,CC-816,Medium,Confidential
R-00070,Platform,Operations,CC-756,Low,Internal
R-00071,Application,Finance,CC-345,Low,Public
R-00072,CloudOps,Operations,CC-645,Medium,Internal
R-00073,Application,Operations,CC-427,High,Confidential
R-00074,CloudOps,Finance,CC-117,Critical,Confidential
R-00075,CloudOps,Retail,CC-427,Critical,Public
R-00076,Application,Finance,CC-964,Low,Internal
R-00077,CloudOps,Retail,CC-966,Low,Public
R-00078,Application,Retail,CC-510,Medium,Public
R-00079,Platform,Retail,CC-768,Critical,Public
R-00080,Platform,Operations,CC-305,Critical,Confidential
R-00081,CloudOps,Retail,CC-143,Low,Confidential
R-00082,Platform,Retail,CC-135,Medium,Confidential
R-00083,Platform,Finance,CC-614,High,Internal
R-00084,CloudOps,Retail,CC-307,Critical,Internal
R-00085,Platform,Operations,CC-378,Low,Confidential
R-00086,CloudOps,Retail,CC-793,Critical,Internal
R-00087,Application,Finance,CC-782,Low,Public
R-00088,Platform,Operations,CC-338,High,Public
R-00089,CloudOps,Finance,CC-464,Medium,Public
R-00090,Application,Operations,CC-831,Low,Public
R-00091,CloudOps,Operations,CC-183,Low,Public
R-00092,Application,Operations,CC-748,Low,Public
R-00093,Platform,Finance,CC-412,Medium,Public
R-00094,CloudOps,Operations,CC-694,Critical,Internal
R-00095,Platform,Retail,CC-739,Critical,Public
R-00096,CloudOps,Operations,CC-925,Low,Confidential
R-00097,Application,Finance,CC-594,Low,Confidential
R-00098,CloudOps,Finance,CC-577,Critical,Internal
R-00099,Platform,Retail,CC-789,Critical,Confidential
R-00100,Platform,Operations,CC-973,High,Internal
R-00101,Application,Finance,CC-106,High,Public
R-00102,Platform,Finance,CC-502,Low,Internal
R-00103,Platform,Operations,CC-220,Critical,Internal
R-00104,Application,Finance,CC-328,High,Public
R-00105,CloudOps,Retail,CC-855,High,Confidential
R-00106,CloudOps,Finance,CC-505,Low,Confidential
R-00107,Platform,Retail,CC-229,Medium,Internal
R-00108,Platform,Finance,CC-433,Low,Internal
R-00109,Platform,Operations,CC-188,Low,Confidential
R-00110,Application,Finance,CC-737,Low,Public
R-00111,Application,Operations,CC-322,Low,Public
R-00112,Platform,Operations,CC-690,Low,Public
R-00113,Application,Finance,CC-579,High,Internal
R-00114,Application,Retail,CC-804,High,Internal
R-00115,CloudOps,Finance,CC-323,Critical,Public
R-00116,CloudOps,Operations,CC-198,Low,Public
R-00117,Application,Finance,CC-214,Critical,Public
R-00118,CloudOps,Finance,CC-937,Critical,Public
R-00119,CloudOps,Operations,CC-470,Medium,Confidential
R-00120,Platform,Retail,CC-991,Critical,Internal
R-00121,Platform,Operations,CC-927,Critical,Internal
R-00122,CloudOps,Finance,CC-440,High,Confidential
R-00123,Application,Finance,CC-284,Medium,Confidential
R-00124,Platform,Retail,CC-994,Low,Internal
R-00125,Application,Operations,CC-148,Critical,Public
R-00126,Application,Retail,CC-340,Critical,Public
R-00127,Application,Retail,CC-703,Low,Public
R-00128,Application,Finance,CC-182,Medium,Internal
R-00129,Platform,Retail,CC-592,Critical,Confidential
R-00130,Application,Finance,CC-910,Critical,Confidential
R-00131,Application,Operations,CC-226,Critical,Public
R-00132,Platform,Finance,CC-208,Low,Public
R-00133,CloudOps,Operations,CC-283,Critical,Public
R-00134,CloudOps,Retail,CC-729,Low,Confidential
R-00135,Application,Operations,CC-186,Low,Internal
R-00136,CloudOps,Retail,CC-408,High,Internal
R-00137,Application,Operations,CC-856,Low,Public
R-00138,CloudOps,Retail,CC-453,Low,Internal
R-00139,CloudOps,Retail,CC-451,High,Confidential
R-00140,Platform,Operations,CC-411,Medium,Public
R-00141,Application,Retail,CC-405,Medium,Public
R-00142,Platform,Retail,CC-697,Critical,Confidential
R-00143,CloudOps,Finance,CC-404,Critical,Public
R-00144,CloudOps,Operations,CC-826,Medium,Public
R-00145,Application,Retail,CC-203,Critical,Public
R-00146,Platform,Operations,CC-872,High,Public
R-00147,Application,Operations,CC-511,Critical,Confidential
R-00148,Platform,Finance,CC-437,Low,Internal
R-00149,Application,Finance,CC-629,Medium,Public
R-00150,Platform,Finance,CC-961,Low,Confidential
R-00151,Application,Finance,CC-299,Critical,Confidential
R-00152,Application,Retail,CC-289,Critical,Internal
R-00153,CloudOps,Retail,CC-897,Critical,Internal
R-00154,Application,Operations,CC-880,Low,Internal
R-00155,Application,Retail,CC-822,Low,Public
R-00156,Platform,Finance,CC-434,Critical,Public
R-00157,Application,Retail,CC-548,Low,Internal
R-00158,Application,Operations,CC-516,Low,Public
R-00159,Platform,Finance,CC-915,Critical,Public
R-00160,CloudOps,Retail,CC-882,Critical,Public
R-00161,CloudOps,Retail,CC-116,Low,Internal
R-00162,Application,Finance,CC-358,Critical,Public
R-00163,Platform,Finance,CC-790,Medium,Internal
R-00164,Platform,Operations,CC-541,High,Public
