server_id,hostname,platform,environment,os,ip_address,cpu_cores,memory_gb,storage_gb,backup_policy,monitoring_enabled,patch_ring,owner_team,criticality
SRV-001,NS-MON-01,AWS,Test,Ubuntu 22.04 LTS,10.11.0.2,4,64,256,Gold-4hr,Yes,Ring-1,Cloud Operations,Tier 1
SRV-002,NS-MON-02,VMware,Production,RHEL 9,10.39.0.3,8,64,1024,Silver-Daily,Yes,Ring-0,Infrastructure,Tier 3
SRV-003,NS-APP-03,Azure,Development,RHEL 9,10.18.0.4,4,64,1024,Silver-Daily,Yes,Ring-2,Business Applications,Tier 1
SRV-004,NS-DC-04,Azure,Production,RHEL 9,10.22.0.5,8,32,1024,Silver-Daily,Yes,Ring-2,Infrastructure,Tier 3
SRV-005,NS-DC-05,AWS,Production,Windows Server 2022,10.12.0.6,8,16,256,Gold-4hr,Yes,Ring-0,Cloud Operations,Tier 3
SRV-006,NS-MON-06,VMware,Production,Ubuntu 22.04 LTS,10.35.0.7,8,8,1024,Bronze-Weekly,Yes,Ring-1,Cloud Operations,Tier 1
SRV-007,NS-MON-07,AWS,Test,Windows Server 2022,10.17.0.8,2,16,256,Gold-4hr,Yes,Ring-2,Business Applications,Tier 1
SRV-008,NS-APP-08,AWS,Production,Ubuntu 22.04 LTS,10.39.0.9,4,64,128,Bronze-Weekly,Yes,Ring-2,Business Applications,Tier 2
SRV-009,NS-WEB-09,VMware,Test,RHEL 9,10.25.0.10,16,16,256,Silver-Daily,Yes,Ring-2,Infrastructure,Tier 3
SRV-010,NS-FILE-10,AWS,Development,Windows Server 2022,10.33.0.11,8,64,128,Gold-4hr,Yes,Ring-1,Cloud Operations,Tier 1
SRV-011,NS-APP-11,VMware,Production,RHEL 9,10.37.0.12,16,16,128,Gold-4hr,Yes,Ring-1,Business Applications,Tier 3
SRV-012,NS-FILE-12,VMware,Production,Windows Server 2022,10.25.0.13,4,8,1024,Bronze-Weekly,Yes,Ring-1,Cloud Operations,Tier 1
SRV-013,NS-WEB-13,Hyper-V,Test,Ubuntu 22.04 LTS,10.21.0.14,2,64,256,Silver-Daily,Yes,Ring-1,Infrastructure,Tier 1
SRV-014,NS-FILE-14,Azure,Test,Ubuntu 22.04 LTS,10.16.0.15,2,8,128,Bronze-Weekly,Yes,Ring-0,Cloud Operations,Tier 3
SRV-015,NS-MON-15,AWS,Development,Ubuntu 22.04 LTS,10.21.0.16,2,16,1024,Bronze-Weekly,Yes,Ring-2,Cloud Operations,Tier 2
SRV-016,NS-FILE-16,Hyper-V,Development,RHEL 9,10.18.0.17,16,16,1024,Bronze-Weekly,Yes,Ring-2,Cloud Operations,Tier 1
SRV-017,NS-FILE-17,Azure,Test,Ubuntu 22.04 LTS,10.19.0.18,8,64,256,Bronze-Weekly,Yes,Ring-0,Business Applications,Tier 1
SRV-018,NS-MON-18,Hyper-V,Production,Windows Server 2022,10.16.0.19,16,32,128,Gold-4hr,Yes,Ring-1,Business Applications,Tier 1
SRV-019,NS-WEB-19,VMware,Test,RHEL 9,10.23.0.20,2,8,512,Gold-4hr,Yes,Ring-1,Infrastructure,Tier 3
SRV-020,NS-MON-20,VMware,Test,Ubuntu 22.04 LTS,10.29.0.21,8,8,256,Bronze-Weekly,Yes,Ring-1,Cloud Operations,Tier 1
SRV-021,NS-MON-21,AWS,Development,Windows Server 2022,10.11.0.22,4,16,128,Silver-Daily,Yes,Ring-0,Business Applications,Tier 1
SRV-022,NS-APP-22,AWS,Development,Ubuntu 22.04 LTS,10.21.0.23,16,64,256,Bronze-Weekly,Yes,Ring-0,Business Applications,Tier 3
SRV-023,NS-APP-23,VMware,Development,RHEL 9,10.36.0.24,8,32,512,Gold-4hr,Yes,Ring-2,Infrastructure,Tier 2
SRV-024,NS-FILE-24,Hyper-V,Production,Ubuntu 22.04 LTS,10.15.0.25,16,8,128,Bronze-Weekly,Yes,Ring-1,Cloud Operations,Tier 1
SRV-025,NS-FILE-25,Azure,Development,RHEL 9,10.24.0.26,16,64,256,Silver-Daily,Yes,Ring-1,Business Applications,Tier 2
SRV-026,NS-DC-26,VMware,Production,Ubuntu 22.04 LTS,10.12.0.27,16,16,256,Silver-Daily,Yes,Ring-1,Cloud Operations,Tier 3
SRV-027,NS-MON-27,VMware,Development,Windows Server 2022,10.19.0.28,2,64,512,Gold-4hr,Yes,Ring-2,Infrastructure,Tier 2
SRV-028,NS-DB-28,Azure,Production,RHEL 9,10.18.0.29,4,16,1024,Bronze-Weekly,Yes,Ring-0,Infrastructure,Tier 3
SRV-029,NS-DB-29,AWS,Production,Windows Server 2022,10.16.0.30,4,32,256,Gold-4hr,Yes,Ring-0,Infrastructure,Tier 3
SRV-030,NS-FILE-30,Hyper-V,Production,RHEL 9,10.40.0.31,2,64,512,Bronze-Weekly,Yes,Ring-1,Cloud Operations,Tier 3
SRV-031,NS-DC-31,Azure,Production,RHEL 9,10.18.0.32,16,16,256,Gold-4hr,Yes,Ring-2,Cloud Operations,Tier 2
SRV-032,NS-FILE-32,VMware,Development,Ubuntu 22.04 LTS,10.37.0.33,4,64,128,Bronze-Weekly,Yes,Ring-2,Cloud Operations,Tier 2
SRV-033,NS-APP-33,VMware,Production,Ubuntu 22.04 LTS,10.28.0.34,2,32,512,Bronze-Weekly,Yes,Ring-1,Infrastructure,Tier 3
