ticket_id,created_at,resolved_at,priority,category,title,requester,technician,sla_result,resolution_minutes,root_cause,status
INC-10001,2026-01-05T13:00,2026-01-05T13:51,P2,Identity & Access,Account lockout after password change,User-008,Tech-01,Met,51,Identity configuration,Resolved
INC-10002,2026-01-05T18:00,2026-01-05T21:22,P3,Microsoft 365,Shared mailbox missing,User-015,Tech-02,Met,202,Client or tenant configuration,Resolved
INC-10003,2026-01-05T23:00,2026-01-06T02:38,P2,Windows Endpoint,BitLocker recovery prompt,User-022,Tech-03,Met,218,OS or driver state,Resolved
INC-10004,2026-01-06T04:00,2026-01-06T07:16,P2,Networking & VPN,Wi-Fi disconnects,User-029,Tech-04,Met,196,Connectivity or name resolution,Resolved
INC-10005,2026-01-06T09:00,2026-01-06T10:08,P2,Hardware,SSD health warning,User-036,Tech-05,Met,68,Component failure,Resolved
INC-10006,2026-01-06T14:00,2026-01-07T12:09,P4,Printing,Badge release unavailable,User-043,Tech-06,Met,1329,Driver or spooler,Resolved
INC-10007,2026-01-06T19:00,2026-01-07T07:58,P3,Business Application,ERP client login failure,User-050,Tech-07,Met,778,Application configuration,Resolved
INC-10008,2026-01-07T00:00,2026-01-07T08:39,P3,Security,Defender malware alert,User-057,Tech-08,Met,519,Security control or user action,Resolved
INC-10009,2026-01-07T05:00,2026-01-07T18:57,P3,Mobile & Intune,Outlook mobile setup failed,User-064,Tech-01,Met,837,Enrollment or compliance policy,Resolved
INC-10010,2026-01-07T10:00,2026-01-07T15:44,P3,File Services,NTFS permission mismatch,User-071,Tech-02,Met,344,Permission or storage state,Resolved
INC-10011,2026-01-07T15:00,2026-01-07T17:44,P3,Identity & Access,SSO loop in browser,User-078,Tech-03,Met,164,Identity configuration,Resolved
INC-10012,2026-01-07T20:00,2026-01-08T03:07,P3,Microsoft 365,Office activation error,User-085,Tech-04,Met,427,Client or tenant configuration,Resolved
INC-10013,2026-01-08T01:00,2026-01-08T05:28,P4,Windows Endpoint,Blue screen after driver update,User-092,Tech-05,Met,268,OS or driver state,Resolved
INC-10014,2026-01-08T06:00,2026-01-08T09:07,P3,Networking & VPN,DNS resolution intermittent,User-099,Tech-06,Met,187,Connectivity or name resolution,Resolved
INC-10015,2026-01-08T11:00,2026-01-08T14:06,P2,Hardware,Webcam not detected,User-106,Tech-07,Met,186,Component failure,Resolved
INC-10016,2026-01-08T16:00,2026-01-09T01:33,P4,Printing,Driver installation failed,User-113,Tech-08,Met,573,Driver or spooler,Resolved
INC-10017,2026-01-08T21:00,2026-01-08T21:56,P2,Business Application,HR portal access denied,User-120,Tech-01,Met,56,Application configuration,Resolved
INC-10018,2026-01-09T02:00,2026-01-09T06:58,P3,Security,Browser certificate warning,User-127,Tech-02,Met,298,Security control or user action,Resolved
INC-10019,2026-01-09T07:00,2026-01-09T15:44,P3,Mobile & Intune,Device enrollment failed,User-134,Tech-03,Met,524,Enrollment or compliance policy,Resolved
INC-10020,2026-01-09T12:00,2026-01-09T19:19,P3,File Services,Deleted file restoration,User-141,Tech-04,Met,439,Permission or storage state,Resolved
INC-10021,2026-01-09T17:00,2026-01-09T22:33,P3,Identity & Access,Expired password during remote login,User-148,Tech-05,Met,333,Identity configuration,Resolved
INC-10022,2026-01-09T22:00,2026-01-10T01:20,P2,Microsoft 365,OneDrive sync conflict,User-155,Tech-06,Met,200,Client or tenant configuration,Resolved
INC-10023,2026-01-10T03:00,2026-01-10T21:46,P4,Windows Endpoint,Mapped drive missing,User-162,Tech-07,Met,1126,OS or driver state,Resolved
INC-10024,2026-01-10T08:00,2026-01-10T19:55,P3,Networking & VPN,Proxy configuration blocks site,User-169,Tech-08,Met,715,Connectivity or name resolution,Resolved
INC-10025,2026-01-10T13:00,2026-01-11T03:04,P4,Hardware,Laptop battery not charging,User-176,Tech-01,Met,844,Component failure,Resolved
INC-10026,2026-01-10T18:00,2026-01-10T19:43,P2,Printing,Secure print queue missing,User-183,Tech-02,Met,103,Driver or spooler,Resolved
INC-10027,2026-01-10T23:00,2026-01-11T01:07,P3,Business Application,POS application timeout,User-190,Tech-03,Met,127,Application configuration,Resolved
INC-10028,2026-01-11T04:00,2026-01-12T05:22,P4,Security,USB storage blocked,User-197,Tech-04,Met,1522,Security control or user action,Resolved
INC-10029,2026-01-11T09:00,2026-01-11T20:58,P3,Mobile & Intune,Remote wipe verification,User-204,Tech-05,Met,718,Enrollment or compliance policy,Resolved
INC-10030,2026-01-11T14:00,2026-01-11T17:22,P3,File Services,Offline files conflict,User-211,Tech-06,Met,202,Permission or storage state,Resolved
INC-10031,2026-01-11T19:00,2026-01-12T23:29,P4,Identity & Access,Account lockout after password change,User-218,Tech-07,Met,1709,Identity configuration,Resolved
INC-10032,2026-01-12T00:00,2026-01-12T16:37,P4,Microsoft 365,Shared mailbox missing,User-225,Tech-08,Met,997,Client or tenant configuration,Resolved
INC-10033,2026-01-12T05:00,2026-01-12T08:21,P3,Windows Endpoint,BitLocker recovery prompt,User-232,Tech-01,Met,201,OS or driver state,Resolved
INC-10034,2026-01-12T10:00,2026-01-12T23:53,P3,Networking & VPN,Wi-Fi disconnects,User-239,Tech-02,Met,833,Connectivity or name resolution,Resolved
INC-10035,2026-01-12T15:00,2026-01-12T16:24,P2,Hardware,SSD health warning,User-246,Tech-03,Met,84,Component failure,Resolved
INC-10036,2026-01-12T20:00,2026-01-12T22:05,P3,Printing,Badge release unavailable,User-003,Tech-04,Met,125,Driver or spooler,Resolved
INC-10037,2026-01-13T01:00,2026-01-13T09:59,P3,Business Application,ERP client login failure,User-010,Tech-05,Met,539,Application configuration,Resolved
INC-10038,2026-01-13T06:00,2026-01-13T07:11,P3,Security,Defender malware alert,User-017,Tech-06,Met,71,Security control or user action,Resolved
