ticket_id,opened,closed,priority,category,issue,asset,requester,resolution_minutes,sla_met,root_cause,resolution,customer_confirmation
OPS-0001,2026-01-05T17:00,2026-01-05T20:31,P3,Identity,Password/MFA,IDE-101,Employee 001,211,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0002,2026-01-06T02:00,2026-01-06T09:02,P4,Network,VPN,NET-102,Employee 002,422,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0003,2026-01-06T11:00,2026-01-06T14:33,P3,Microsoft 365,Outlook,MIC-103,Employee 003,213,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0004,2026-01-06T20:00,2026-01-06T23:34,P3,Infrastructure,Disk capacity,INF-104,Employee 004,214,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0005,2026-01-07T05:00,2026-01-07T06:40,P2,AWS,EC2 unreachable,AWS-105,Employee 005,100,Yes,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0006,2026-01-07T14:00,2026-01-07T17:36,P3,Endpoint,Intune enrollment,END-106,Employee 006,216,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0007,2026-01-07T23:00,2026-01-08T06:07,P4,Linux,Linux service,LIN-107,Employee 007,427,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0008,2026-01-08T08:00,2026-01-08T11:38,P3,Endpoint,Printer,END-108,Employee 008,218,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0009,2026-01-08T17:00,2026-01-08T20:39,P3,Network,DNS,NET-109,Employee 009,219,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0010,2026-01-09T02:00,2026-01-09T03:45,P2,Identity,Access request,IDE-110,Employee 010,105,Yes,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
OPS-0011,2026-01-09T11:00,2026-01-09T14:41,P3,Identity,Password/MFA,IDE-111,Employee 011,221,Yes,Validated password/mfa configuration or dependency fault,"Reset password, revoked sessions, required MFA re-registration, and verified successful sign-in.",Yes
OPS-0012,2026-01-09T20:00,2026-01-10T03:12,P4,Network,VPN,NET-112,Employee 012,432,Yes,Validated vpn configuration or dependency fault,"Corrected client profile and certificate chain; verified tunnel, DNS, and application access.",Yes
OPS-0013,2026-01-10T05:00,2026-01-10T08:43,P3,Microsoft 365,Outlook,MIC-113,Employee 013,223,Yes,Validated outlook configuration or dependency fault,"Rebuilt profile and repaired cached mode; validated send, receive, search, and calendar.",Yes
OPS-0014,2026-01-10T14:00,2026-01-10T17:44,P3,Infrastructure,Disk capacity,INF-114,Employee 014,224,Yes,Validated disk capacity configuration or dependency fault,"Removed approved transient data, expanded storage through change control, and confirmed monitoring recovery.",Yes
OPS-0015,2026-01-10T23:00,2026-01-11T00:50,P2,AWS,EC2 unreachable,AWS-115,Employee 015,110,Yes,Validated ec2 unreachable configuration or dependency fault,Corrected security group route and restarted failed agent; validated status checks and SSH.,Yes
OPS-0016,2026-01-11T08:00,2026-01-11T11:46,P3,Endpoint,Intune enrollment,END-116,Employee 016,226,Yes,Validated intune enrollment configuration or dependency fault,"Removed stale registration, re-enrolled device, synchronized policy, and verified compliance.",Yes
OPS-0017,2026-01-11T17:00,2026-01-12T00:17,P4,Linux,Linux service,LIN-117,Employee 017,437,Yes,Validated linux service configuration or dependency fault,"Identified invalid configuration, restored known-good file, restarted service, and validated logs.",Yes
OPS-0018,2026-01-12T02:00,2026-01-12T05:48,P3,Endpoint,Printer,END-118,Employee 018,228,Yes,Validated printer configuration or dependency fault,"Cleared spooler queue, replaced driver package, and completed user test print.",Yes
OPS-0019,2026-01-12T11:00,2026-01-12T14:49,P3,Network,DNS,NET-119,Employee 019,229,Yes,Validated dns configuration or dependency fault,Corrected stale record and cache; validated authoritative and client resolution.,Yes
OPS-0020,2026-01-12T20:00,2026-01-12T21:55,P2,Identity,Access request,IDE-120,Employee 020,115,Yes,Validated access request configuration or dependency fault,Applied approved role through group-based access and recorded manager/data-owner approval.,Yes
