resource_id,cloud,account_subscription,resource_type,name,region,environment,owner,monthly_cost_usd,backup_enabled,monitoring_enabled
R-00001,AWS,shared,LoadBalancer,resource-0001,us-east-1,Development,Application,217.69,Yes,Yes
R-00002,Azure,dev,Storage,resource-0002,us-west-2,Production,CloudOps,208.31,No,Yes
R-00003,AWS,shared,VM,resource-0003,us-east-1,Production,Platform,882.19,Yes,Yes
R-00004,AWS,shared,Function,resource-0004,us-west-2,Test,CloudOps,433.08,Yes,Yes
R-00005,Azure,dev,LoadBalancer,resource-0005,us-east-1,Test,Platform,68.42,Yes,No
R-00006,AWS,shared,VM,resource-0006,centralus,Development,CloudOps,520.63,Yes,Yes
R-00007,Azure,prod,Database,resource-0007,us-west-2,Production,Platform,532.07,Yes,Yes
R-00008,AWS,dev,Database,resource-0008,us-west-2,Development,Platform,464.09,No,No
R-00009,Azure,shared,Database,resource-0009,us-east-1,Production,CloudOps,388.81,Yes,Yes
R-00010,Azure,dev,Function,resource-0010,centralus,Development,Application,289.59,Yes,No
R-00011,Azure,shared,Function,resource-0011,us-east-1,Production,Platform,884.93,Yes,No
R-00012,AWS,prod,Function,resource-0012,us-west-2,Test,Application,854.94,No,No
R-00013,Azure,dev,Database,resource-0013,centralus,Development,CloudOps,789.02,No,Yes
R-00014,Azure,shared,Function,resource-0014,us-east-1,Development,Application,483.06,Yes,No
R-00015,Azure,shared,VM,resource-0015,centralus,Development,Platform,595.0,Yes,Yes
R-00016,Azure,prod,VM,resource-0016,us-west-2,Production,Platform,225.95,Yes,Yes
R-00017,AWS,shared,Storage,resource-0017,centralus,Production,Platform,284.64,Yes,Yes
R-00018,Azure,shared,LoadBalancer,resource-0018,us-west-2,Development,Application,347.75,No,Yes
R-00019,Azure,prod,Storage,resource-0019,us-east-1,Production,CloudOps,675.79,No,No
R-00020,AWS,shared,Storage,resource-0020,centralus,Development,Application,627.32,No,Yes
R-00021,AWS,dev,Storage,resource-0021,eastus,Development,Application,593.26,Yes,Yes
R-00022,Azure,dev,LoadBalancer,resource-0022,us-east-1,Test,Platform,399.86,No,No
R-00023,AWS,prod,LoadBalancer,resource-0023,eastus,Production,Application,462.47,Yes,Yes
R-00024,AWS,prod,VM,resource-0024,us-east-1,Development,Platform,149.94,Yes,No
R-00025,AWS,shared,Storage,resource-0025,centralus,Development,Platform,71.8,Yes,Yes
R-00026,AWS,shared,LoadBalancer,resource-0026,us-west-2,Production,CloudOps,864.09,Yes,Yes
R-00027,Azure,prod,Function,resource-0027,us-east-1,Production,Platform,623.59,No,Yes
