ticket_id,opened_at,cloud,category,priority,summary,status,assignment_group,resolution_hours,sla_met,root_cause,resolution
CLD-00001,2026-03-04T21:00:00,Azure,Identity,P3,Azure identity operational issue,Resolved,Cloud Operations,24.64,No,Identity configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00002,2026-03-21T02:00:00,AWS,Network,P4,AWS network operational issue,Resolved,Cloud Operations,35.18,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00003,2026-05-27T18:00:00,AWS,Backup,P4,AWS backup operational issue,Resolved,Cloud Operations,12.98,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00004,2026-04-17T01:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,1.15,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00005,2026-04-22T10:00:00,AWS,Storage,P3,AWS storage operational issue,Resolved,Cloud Operations,34.04,No,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00006,2026-04-17T15:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,7.62,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00007,2026-05-28T10:00:00,AWS,Cost,P2,AWS cost operational issue,Resolved,Cloud Operations,9.96,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00008,2026-03-27T20:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,36.08,No,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00009,2026-03-05T02:00:00,Azure,Cost,P3,Azure cost operational issue,Resolved,Cloud Operations,35.32,No,Cost configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00010,2026-04-12T11:00:00,AWS,Backup,P3,AWS backup operational issue,Resolved,Cloud Operations,16.07,Yes,Backup configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00011,2026-05-26T20:00:00,Azure,Terraform,P3,Azure terraform operational issue,Resolved,Cloud Operations,21.86,Yes,Terraform configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00012,2026-05-28T08:00:00,AWS,Network,P2,AWS network operational issue,Resolved,Cloud Operations,5.49,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00013,2026-06-24T18:00:00,AWS,Storage,P2,AWS storage operational issue,Resolved,Cloud Operations,10.14,No,Storage configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00014,2026-02-28T12:00:00,AWS,Monitoring,P3,AWS monitoring operational issue,Resolved,Cloud Operations,4.13,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00015,2026-05-02T22:00:00,Azure,Compute,P3,Azure compute operational issue,Resolved,Cloud Operations,14.16,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00016,2026-03-10T18:00:00,AWS,Monitoring,P3,AWS monitoring operational issue,Resolved,Cloud Operations,2.79,Yes,Monitoring configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00017,2026-06-07T05:00:00,AWS,Network,P2,AWS network operational issue,Resolved,Cloud Operations,5.11,Yes,Network configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
CLD-00018,2026-04-08T00:00:00,AWS,Compute,P4,AWS compute operational issue,Resolved,Cloud Operations,20.09,Yes,Compute configuration drift or transient service condition,"Validated configuration, applied corrective action, and confirmed service health"
